"Date","Level","NumBlocks","IsWin","ElapsedTime","Score","Accuracy"
"9/7/2019 4:01:34 PM","Level_491","35","True","29.43752","1750","0.3389855"
"9/7/2019 4:03:32 PM","Level_492","112","True","118.5799","11900","0.3984706"
"9/7/2019 4:04:11 PM","Level_493","56","True","38.27267","4900","0.3355578"
"9/7/2019 4:04:28 PM","Level_494","40","True","16.80967","2150","0.3788661"
"9/7/2019 4:04:46 PM","Level_519","21","True","17.90305","1500","0.3822136"
"9/7/2019 4:05:05 PM","Level_520","29","False","19.29387","1950","0.3066815"
"9/7/2019 4:05:37 PM","Level_380","32","False","31.25126","3100","0.3153138"
"9/7/2019 4:05:39 PM","Level_596","50","False","1.214653","0","0.3259625"
"9/7/2019 4:05:49 PM","Level_798","50","False","8.823109","2850","0.344605"
"9/7/2019 4:06:18 PM","Level_604","56","True","28.70671","3000","0.3632286"
"9/7/2019 4:06:21 PM","Level_609","62","False","2.572128","600","0.3792806"
"9/7/2019 4:06:23 PM","Level_847","29","False","0.8434773","0","0.3268121"
"9/7/2019 4:06:30 PM","Level_847","29","False","6.888889","0","0.3312046"
"9/7/2019 4:06:51 PM","Level_847","29","True","20.26543","2750","0.3558967"
"9/7/2019 4:07:53 PM","Level_848","48","True","61.41117","4800","0.3811177"
"9/7/2019 4:07:54 PM","Level_849","43","False","1.546999","50","0.3032108"
"9/7/2019 4:08:00 PM","Level_380","32","False","4.663981","400","0.3014444"
"9/7/2019 4:08:09 PM","Level_494","40","False","8.771837","1450","0.3178008"
"9/7/2019 4:08:21 PM","Level_379","28","True","10.42984","1400","0.3340973"
"9/7/2019 4:08:27 PM","Level_380","32","False","6.327945","700","0.3027333"
"9/7/2019 4:08:41 PM","Level_494","40","True","13.448","2150","0.3468079"
"9/7/2019 4:09:01 PM","Level_519","21","True","19.98479","1500","0.393669"
"9/7/2019 4:09:26 PM","Level_520","29","True","24.5244","2700","0.3883164"
"9/7/2019 4:09:47 PM","Level_596","50","True","20.66253","4000","0.3617013"
"9/7/2019 4:10:13 PM","Level_604","56","False","26.12915","2850","0.3892666"
"9/7/2019 4:10:41 PM","Level_609","62","False","27.43608","3850","0.3277613"
"9/7/2019 4:11:25 PM","Level_380","32","True","42.79635","3600","0.3755679"
"9/7/2019 4:11:40 PM","Level_491","35","False","14.518","1550","0.3047813"
